Year,State,Fatality,Population
2000,NSW,543,6485081
2000,VIC,373,4730855
2000,QLD,275,3537670
2000,SA,151,1500129
2000,WA,184,1892531
2000,TAS,38,473200
2000,NT,48,200045
2000,ACT,16,318941
2000,AUS,1628,19141036
2001,NSW,486,6558484
2001,VIC,404,4790212
2001,QLD,296,3611203
2001,SA,137,1507825
2001,WA,151,1917752
2001,TAS,52,473890
2001,NT,43,201751
2001,ACT,15,322874
2001,AUS,1584,19386461
2002,NSW,501,6599441
2002,VIC,361,4845024
2002,QLD,283,3700791
2002,SA,108,1515723
2002,WA,159,1938610
2002,TAS,35,475998
2002,NT,40,201549
2002,ACT,8,325950
2002,AUS,1495,19605441
2003,NSW,483,6634509
2003,VIC,294,4900176
2003,QLD,284,3788560
2003,SA,136,1524727
2003,WA,155,1966130
2003,TAS,39,481411
2003,NT,44,201708
2003,ACT,10,327596
2003,AUS,1445,19827155
2004,NSW,458,6669206
2004,VIC,312,4957147
2004,QLD,289,3872351
2004,SA,128,1532562
2004,WA,162,1994241
2004,TAS,52,484778
2004,NT,34,203857
2004,ACT,9,329498
2004,AUS,1444,20046003
2005,NSW,459,6718023
2005,VIC,314,5023203
2005,QLD,296,3964175
2005,SA,127,1544852
2005,WA,148,2029936
2005,TAS,49,488098
2005,NT,51,207385
2005,ACT,25,333505
2005,AUS,1469,20311543
2006,NSW,454,6786160
2006,VIC,309,5103965
2006,QLD,313,4055845
2006,SA,104,1561300
2006,WA,181,2076867
2006,TAS,43,491515
2006,NT,41,211029
2006,ACT,12,338381
2006,AUS,1457,20627547
2007,NSW,405,6883852
2007,VIC,289,5199503
2007,QLD,337,4159990
2007,SA,107,1578489
2007,WA,181,2135006
2007,TAS,39,495858
2007,NT,47,216618
2007,ACT,14,344176
2007,AUS,1419,21016121
2008,NSW,353,7001782
2008,VIC,278,5313285
2008,QLD,294,4275551
2008,SA,87,1597880
2008,WA,185,2208928
2008,TAS,37,501774
2008,NT,67,222526
2008,ACT,13,351101
2008,AUS,1314,21475625
2009,NSW,409,7101504
2009,VIC,268,5419249
2009,QLD,296,4367454
2009,SA,107,1618578
2009,WA,176,2263747
2009,TAS,52,506461
2009,NT,31,227783
2009,ACT,11,357859
2009,AUS,1350,21865623
2010,NSW,365,7179891
2010,VIC,260,5495711
2010,QLD,236,4436882
2010,SA,105,1632482
2010,WA,176,2319063
2010,TAS,29,510219
2010,NT,46,230299
2010,ACT,16,364833
2010,AUS,1233,22172469
2011,NSW,336,7258722
2011,VIC,259,5591818
2011,QLD,227,4518649
2011,SA,95,1647183
2011,WA,167,2385947
2011,TAS,23,511739
2011,NT,38,232952
2011,ACT,6,372070
2011,AUS,1151,22522197
2012,NSW,336,7353189
2012,VIC,261,5709586
2012,QLD,255,4611304
2012,SA,86,1663082
2012,WA,171,2457489
2012,TAS,29,511813
2012,NT,40,238728
2012,ACT,12,379812
2012,AUS,1190,22928023
2013,NSW,316,7454938
2013,VIC,225,5832585
2013,QLD,246,4685439
2013,SA,90,1678052
2013,WA,149,2502188
2013,TAS,35,513015
2013,NT,33,242304
2013,ACT,7,386318
2013,AUS,1101,23297777
2014,NSW,285,7562171
2014,VIC,223,5957512
2014,QLD,199,4747263
2014,SA,96,1693107
2014,WA,173,2528619
2014,TAS,31,514040
2014,NT,34,242753
2014,ACT,10,391981
2014,AUS,1051,23640331
2015,NSW,326,7671401
2015,VIC,231,6093049
2015,QLD,219,4804933
2015,SA,96,1705937
2015,WA,140,2547745
2015,TAS,32,515694
2015,NT,42,244090
2015,ACT,14,398874
2015,AUS,1100,23984581
2016,NSW,356,7801785
2016,VIC,275,6244863
2016,QLD,238,4883821
2016,SA,76,1717400
2016,WA,170,2563708
2016,TAS,33,519810
2016,NT,40,246183
2016,ACT,10,407489
2016,AUS,1198,24389684
2017,NSW,351,7919815
2017,VIC,240,6387081
2017,QLD,228,4963072
2017,SA,93,1728494
2017,WA,151,2582563
2017,TAS,31,524969
2017,NT,27,246858
2017,ACT,5,415874
2017,AUS,1126,24773350
2018,NSW,326,8036665
2018,VIC,202,6528601
2018,QLD,224,5050651
2018,SA,75,1743594
2018,WA,145,2606394
2018,TAS,31,531777
2018,NT,42,245796
2018,ACT,9,423169
2018,AUS,1054,25171291
2019,NSW,329,8137322
2019,VIC,248,6660255
2019,QLD,196,5136458
2019,SA,110,1761372
2019,WA,154,2646132
2019,TAS,29,538195
2019,NT,28,245255
2019,ACT,6,428269
2019,AUS,1100,25557914
2020,NSW,264,8169114
2020,VIC,195,6657142
2020,QLD,250,5193269
2020,SA,85,1770309
2020,WA,136,2669996
2020,TAS,30,541209
2020,NT,28,246453
2020,ACT,6,431190
2020,AUS,994,25683372
2021,NSW,177,8176368
2021,VIC,142,6648564
2021,QLD,168,5206400
2021,SA,63,1771703
2021,WA,102,2675797
2021,TAS,23,541965
2021,NT,23,247023
2021,ACT,23,431826
2021,AUS,721,25704340
